Категорія,Клас,Кількість,%,% кожного класу,Усього по категоріях
Самотні особи,1a Вдови і вдівці,1,0.7,0.7,
,"1b Нежонаті, або неокресленого цивільного стану",0,,0.0,1
Безструктурні,"2a Нежонаті брати і сестри, які живуть разом",0,0.7,0.0,
,"2b Інші кревні, які живуть разом",1,,0.7,1
Нуклеарні,3a Шлюбі пари без дітей,4,43.2,2.7,
,3b Шлюбні пари з дітьми,54,,37.0,
,3c Вдівці з дітьми,1,,0.7,
,3d Вдови з дітьми,4,,2.7,63
Розширені,4a Родини з висхідним розширенням,16,16.4,11.0,
,4b Родини з низхідним розширенням,3,,2.1,
,4c Родини з бічним розширенням,3,,2.1,
,4d Комбінація 4a-4c,2,,1.4,24
Мультифокальні,5a Родини з висхідними другорядними ядрами,6,39.0,4.1,
,5b Родини з низхідними другорядними ядрами,36,,24.7,
,5c Родини з бічними другорядними ядрами,4,,2.7,
,5d Братські родини,7,,4.8,
,5e Інші,4,,2.7,57
Усього,,146,100,100,146
