Категорія,Клас,Кількість,%,% кожного класу,Усього по категоріях
Самотні особи,1a Вдови і вдівці,3,1.9,1.2,
,"1b Нежонаті, або неокресленого цивільного стану",2,,0.8,5
Безструктурні,"2a Нежонаті брати і сестри, які живуть разом",0,0.4,0.0,
,"2b Інші кревні, які живуть разом",1,,0.4,1
Нуклеарні,3a Шлюбі пари без дітей,11,43.5,4.2,
,3b Шлюбні пари з дітьми,87,,33.5,
,3c Вдівці з дітьми,3,,1.2,
,3d Вдови з дітьми,12,,4.6,113
Розширені,4a Родини з висхідним розширенням,30,20.0,11.5,
,4b Родини з низхідним розширенням,4,,1.5,
,4c Родини з бічним розширенням,14,,5.4,
,4d Комбінація 4a-4c,4,,1.5,52
Мультифокальні,5a Родини з висхідними другорядними ядрами,8,34.2,3.1,
,5b Родини з низхідними другорядними ядрами,61,,23.5,
,5c Родини з бічними другорядними ядрами,6,,2.3,
,5d Братські родини,9,,3.5,
,5e Інші,5,,1.9,89
Усього,,260,100,100,260
