Категорія,Клас,Кількість,%,% кожного класу,Усього по категоріях
Самотні особи,1a Вдови і вдівці,0,0.0,0.0,
,"1b Нежонаті, або неокресленого цивільного стану",0,,0.0,0
Безструктурні,"2a Нежонаті брати і сестри, які живуть разом",0,0.0,0.0,
,"2b Інші кревні, які живуть разом",0,,0.0,0
Нуклеарні,3a Шлюбі пари без дітей,0,5.7,0.0,
,3b Шлюбні пари з дітьми,2,,5.7,
,3c Вдівці з дітьми,0,,0.0,
,3d Вдови з дітьми,0,,0.0,2
Розширені,4a Родини з висхідним розширенням,0,0.0,0.0,
,4b Родини з низхідним розширенням,0,,0.0,
,4c Родини з бічним розширенням,0,,0.0,
,4d Комбінація 4a-4c,0,,0.0,0
Мультифокальні,5a Родини з висхідними другорядними ядрами,0,94.3,0.0,
,5b Родини з низхідними другорядними ядрами,2,,5.7,
,5c Родини з бічними другорядними ядрами,2,,5.7,
,5d Братські родини,3,,8.6,
,5e Інші,26,,74.3,33
Усього,,35,100,100,35
