Категорія,Клас,Кількість,%,% кожного класу,Усього по категоріях
Самотні особи,1a Вдови і вдівці,0,0.0,0.0,
,"1b Нежонаті, або неокресленого цивільного стану",0,,0.0,0
Безструктурні,"2a Нежонаті брати і сестри, які живуть разом",0,0.0,0.0,
,"2b Інші кревні, які живуть разом",0,,0.0,0
Нуклеарні,3a Шлюбі пари без дітей,1,23.0,1.4,
,3b Шлюбні пари з дітьми,15,,20.3,
,3c Вдівці з дітьми,0,,0.0,
,3d Вдови з дітьми,1,,1.4,17
Розширені,4a Родини з висхідним розширенням,1,2.7,1.4,
,4b Родини з низхідним розширенням,0,,0.0,
,4c Родини з бічним розширенням,1,,1.4,
,4d Комбінація 4a-4c,0,,0.0,2
Мультифокальні,5a Родини з висхідними другорядними ядрами,1,74.3,1.4,
,5b Родини з низхідними другорядними ядрами,8,,10.8,
,5c Родини з бічними другорядними ядрами,5,,6.8,
,5d Братські родини,9,,12.2,
,5e Інші,32,,43.2,55
Усього,,74,100,100,74
